Start date;End date;Total (grid load) [MWh] Calculated resolutions;Residual load [MWh] Calculated resolutions;Hydro pumped storage [MWh] Calculated resolutions
Dec 7, 2015;Dec 8, 2015;1,511,653.25;1,349,107.25;18,202.00
Dec 8, 2015;Dec 9, 2015;1,559,995.25;1,307,464.50;24,093.50
Dec 9, 2015;Dec 10, 2015;1,561,420.50;1,260,614.50;23,589.25
Dec 10, 2015;Dec 11, 2015;1,583,296.00;1,164,777.75;22,629.75
Dec 11, 2015;Dec 12, 2015;1,572,780.75;1,037,743.75;20,832.50
Dec 12, 2015;Dec 13, 2015;1,319,755.50;873,528.00;21,578.75
Dec 13, 2015;Dec 14, 2015;1,224,080.00;890,231.00;25,227.00
Dec 14, 2015;Dec 15, 2015;1,530,778.75;1,396,875.00;19,274.75
Dec 15, 2015;Dec 16, 2015;1,546,101.00;1,446,142.00;20,022.00
Dec 16, 2015;Dec 17, 2015;1,544,798.75;1,287,309.00;21,505.50
Dec 17, 2015;Dec 18, 2015;1,491,738.50;1,132,138.25;21,152.25
Dec 18, 2015;Dec 19, 2015;1,451,211.25;1,105,766.75;22,441.50
Dec 19, 2015;Dec 20, 2015;1,250,281.75;907,751.25;18,458.50
Dec 20, 2015;Dec 21, 2015;1,162,253.50;761,502.25;22,292.75
Dec 21, 2015;Dec 22, 2015;1,388,590.75;807,311.25;27,502.50
Dec 22, 2015;Dec 23, 2015;1,371,253.25;701,271.00;24,387.00
Dec 23, 2015;Dec 24, 2015;1,313,767.50;718,573.00;22,997.50
Dec 24, 2015;Dec 25, 2015;1,121,023.00;645,366.00;28,544.50
Dec 25, 2015;Dec 26, 2015;1,035,062.00;583,678.75;23,644.75
Dec 26, 2015;Dec 27, 2015;1,041,610.50;384,972.25;25,715.50
Dec 27, 2015;Dec 28, 2015;1,067,574.50;576,290.75;16,235.25
Dec 28, 2015;Dec 29, 2015;1,211,307.25;970,961.25;21,340.50
Dec 29, 2015;Dec 30, 2015;1,223,232.75;877,723.25;27,084.50
Dec 30, 2015;Dec 31, 2015;1,230,753.50;896,634.50;21,587.75
Dec 31, 2015;Jan 1, 2016;1,164,582.50;825,332.25;38,657.25
Jan 1, 2016;Jan 2, 2016;1,056,996.25;930,884.50;29,072.25
Jan 2, 2016;Jan 3, 2016;1,194,341.50;778,859.75;29,113.75
Jan 3, 2016;Jan 4, 2016;1,179,005.75;745,832.75;30,110.50
Jan 4, 2016;Jan 5, 2016;1,443,721.00;1,136,337.25;28,390.25
Jan 5, 2016;Jan 6, 2016;1,496,659.00;1,260,735.00;28,542.75
Jan 6, 2016;Jan 7, 2016;1,446,303.75;1,267,195.50;29,766.00
Jan 7, 2016;Jan 8, 2016;1,538,899.00;1,212,183.75;33,984.50
Jan 8, 2016;Jan 9, 2016;1,519,486.75;996,030.00;35,100.75
Jan 9, 2016;Jan 10, 2016;1,300,208.25;1,073,913.50;25,334.50
Jan 10, 2016;Jan 11, 2016;1,217,998.25;845,852.25;46,670.00
Jan 11, 2016;Jan 12, 2016;1,545,820.75;1,333,480.25;25,858.75
Jan 12, 2016;Jan 13, 2016;1,570,874.00;1,252,203.00;30,624.50
Jan 13, 2016;Jan 14, 2016;1,584,378.00;1,225,695.75;33,332.50
Jan 14, 2016;Jan 15, 2016;1,571,944.50;1,289,695.00;31,129.00
Jan 15, 2016;Jan 16, 2016;1,573,183.00;1,404,194.75;29,139.50
Jan 16, 2016;Jan 17, 2016;1,352,447.75;1,209,138.00;33,236.00
Jan 17, 2016;Jan 18, 2016;1,264,881.25;1,144,777.25;43,611.25
Jan 18, 2016;Jan 19, 2016;1,601,320.75;1,494,947.25;29,054.50
Jan 19, 2016;Jan 20, 2016;1,645,530.00;1,453,867.00;32,702.75
Jan 20, 2016;Jan 21, 2016;1,635,927.25;1,503,217.00;38,281.00
Jan 21, 2016;Jan 22, 2016;1,626,742.25;1,561,784.75;37,984.50
Jan 22, 2016;Jan 23, 2016;1,618,786.75;1,385,489.75;34,031.50
Jan 23, 2016;Jan 24, 2016;1,387,336.25;1,091,998.25;31,534.25
Jan 24, 2016;Jan 25, 2016;1,257,062.50;978,540.75;32,327.25
Jan 25, 2016;Jan 26, 2016;1,529,881.50;1,185,746.00;24,250.75
Jan 26, 2016;Jan 27, 2016;1,558,803.50;1,032,968.50;34,825.00
Jan 27, 2016;Jan 28, 2016;1,571,806.75;882,138.50;34,120.75
Jan 28, 2016;Jan 29, 2016;1,550,571.50;1,033,322.25;28,887.50
Jan 29, 2016;Jan 30, 2016;1,536,184.25;840,530.00;36,571.50
Jan 30, 2016;Jan 31, 2016;1,345,614.25;633,548.75;34,322.25
Jan 31, 2016;Feb 1, 2016;1,229,194.50;706,491.25;42,270.00
Feb 1, 2016;Feb 2, 2016;1,539,382.50;972,226.50;32,323.50
Feb 2, 2016;Feb 3, 2016;1,575,889.50;848,275.75;37,719.00
Feb 3, 2016;Feb 4, 2016;1,574,476.75;996,265.50;35,835.75
Feb 4, 2016;Feb 5, 2016;1,574,177.50;1,180,537.25;32,703.00
Feb 5, 2016;Feb 6, 2016;1,531,236.00;1,241,425.50;27,577.00
Feb 6, 2016;Feb 7, 2016;1,301,268.00;832,058.25;27,436.00
Feb 7, 2016;Feb 8, 2016;1,205,885.25;646,520.25;48,774.25
Feb 8, 2016;Feb 9, 2016;1,505,158.00;724,910.75;32,996.25
Feb 9, 2016;Feb 10, 2016;1,553,398.25;908,155.50;34,235.50
Feb 10, 2016;Feb 11, 2016;1,575,404.00;1,133,759.00;29,870.50
Feb 11, 2016;Feb 12, 2016;1,548,130.25;1,173,186.00;33,800.00
Feb 12, 2016;Feb 13, 2016;1,527,371.50;1,371,978.25;23,297.75
Feb 13, 2016;Feb 14, 2016;1,333,147.50;1,125,514.75;22,200.75
Feb 14, 2016;Feb 15, 2016;1,232,865.50;914,343.50;40,917.25
Feb 15, 2016;Feb 16, 2016;1,554,765.00;1,312,989.50;24,728.00
Feb 16, 2016;Feb 17, 2016;1,583,499.50;1,460,064.25;28,799.75
Feb 17, 2016;Feb 18, 2016;1,597,377.75;1,350,338.25;34,182.50
Feb 18, 2016;Feb 19, 2016;1,560,715.50;1,414,649.75;27,781.25
Feb 19, 2016;Feb 20, 2016;1,559,821.00;1,413,663.75;24,405.75
Feb 20, 2016;Feb 21, 2016;1,385,359.50;763,069.50;25,465.00
Feb 21, 2016;Feb 22, 2016;1,240,377.25;579,033.25;45,379.75
Feb 22, 2016;Feb 23, 2016;1,538,585.00;926,428.50;33,994.75
Feb 23, 2016;Feb 24, 2016;1,558,182.75;1,221,233.25;26,545.75
Feb 24, 2016;Feb 25, 2016;1,548,715.00;1,209,954.50;35,868.25
Feb 25, 2016;Feb 26, 2016;1,555,622.75;1,331,709.75;24,436.25
Feb 26, 2016;Feb 27, 2016;1,514,776.00;1,342,580.25;24,604.00
Feb 27, 2016;Feb 28, 2016;1,294,879.50;1,072,076.25;25,307.75
Feb 28, 2016;Feb 29, 2016;1,208,862.25;952,751.25;30,907.75
Feb 29, 2016;Mar 1, 2016;1,518,861.50;1,224,507.75;25,724.00
Mar 1, 2016;Mar 2, 2016;1,582,560.75;1,299,201.50;25,246.75
Mar 2, 2016;Mar 3, 2016;1,567,465.00;1,163,540.75;34,799.00
Mar 3, 2016;Mar 4, 2016;1,551,639.75;1,392,336.75;28,669.50
Mar 4, 2016;Mar 5, 2016;1,530,989.00;1,176,803.75;21,814.25
Mar 5, 2016;Mar 6, 2016;1,305,330.00;1,170,799.50;24,094.25
Mar 6, 2016;Mar 7, 2016;1,209,940.25;1,044,998.75;35,752.75
Mar 7, 2016;Mar 8, 2016;1,502,170.75;1,367,418.50;19,130.00
Mar 8, 2016;Mar 9, 2016;1,548,290.75;1,406,326.00;27,144.50
Mar 9, 2016;Mar 10, 2016;1,541,114.00;1,183,373.25;31,060.50
Mar 10, 2016;Mar 11, 2016;1,528,542.50;1,304,014.50;27,276.75
Mar 11, 2016;Mar 12, 2016;1,506,180.00;1,344,140.75;20,407.00
Mar 12, 2016;Mar 13, 2016;1,300,580.00;1,151,343.00;15,308.50
Mar 13, 2016;Mar 14, 2016;1,187,959.50;992,684.75;41,335.25
Mar 14, 2016;Mar 15, 2016;1,475,316.00;1,248,379.75;19,021.00
Mar 15, 2016;Mar 16, 2016;1,537,672.00;1,345,756.00;22,788.75
Mar 16, 2016;Mar 17, 2016;1,534,324.25;1,165,668.25;30,071.25
Mar 17, 2016;Mar 18, 2016;1,502,820.25;1,262,818.50;22,480.75
Mar 18, 2016;Mar 19, 2016;1,496,240.50;1,245,884.00;22,404.50
Mar 19, 2016;Mar 20, 2016;1,292,633.75;1,095,721.50;16,350.25
Mar 20, 2016;Mar 21, 2016;1,195,019.75;842,006.75;33,078.00
Mar 21, 2016;Mar 22, 2016;1,487,546.50;1,101,278.00;21,081.50
Mar 22, 2016;Mar 23, 2016;1,509,273.75;1,253,675.25;24,518.50
Mar 23, 2016;Mar 24, 2016;1,501,967.00;1,299,527.75;23,639.50
Mar 24, 2016;Mar 25, 2016;1,473,992.25;1,328,164.50;19,594.50
Mar 25, 2016;Mar 26, 2016;1,193,680.50;978,353.25;21,093.50
Mar 26, 2016;Mar 27, 2016;1,171,675.00;811,259.75;23,127.00
Mar 27, 2016;Mar 28, 2016;1,039,634.75;561,318.50;33,832.25
Mar 28, 2016;Mar 29, 2016;1,119,207.75;527,735.00;41,482.50
Mar 29, 2016;Mar 30, 2016;1,420,080.25;880,327.00;27,224.50
Mar 30, 2016;Mar 31, 2016;1,469,200.25;1,085,919.00;31,405.00
Mar 31, 2016;Apr 1, 2016;1,458,785.00;1,259,909.75;19,851.75
Apr 1, 2016;Apr 2, 2016;1,448,453.75;1,245,752.25;24,997.00
Apr 2, 2016;Apr 3, 2016;1,220,290.00;905,010.75;24,248.00
Apr 3, 2016;Apr 4, 2016;1,103,710.75;866,328.50;38,720.75
Apr 4, 2016;Apr 5, 2016;1,390,255.25;1,134,591.50;21,971.00
Apr 5, 2016;Apr 6, 2016;1,436,506.50;1,215,297.50;24,160.50
Apr 6, 2016;Apr 7, 2016;1,466,539.75;951,410.25;27,354.25
Apr 7, 2016;Apr 8, 2016;1,464,194.75;990,035.00;27,507.00
Apr 8, 2016;Apr 9, 2016;1,427,241.75;1,208,990.00;24,741.25
Apr 9, 2016;Apr 10, 2016;1,202,734.50;1,025,268.50;18,740.50
Apr 10, 2016;Apr 11, 2016;1,094,757.75;812,193.00;36,229.00
Apr 11, 2016;Apr 12, 2016;1,399,090.75;1,000,766.50;12,686.50
Apr 12, 2016;Apr 13, 2016;1,424,561.00;1,189,540.50;23,371.50
Apr 13, 2016;Apr 14, 2016;1,445,908.50;1,292,832.00;19,007.50
Apr 14, 2016;Apr 15, 2016;1,443,869.75;1,264,775.50;28,394.50
Apr 15, 2016;Apr 16, 2016;1,426,265.25;1,142,383.50;21,843.25
Apr 16, 2016;Apr 17, 2016;1,218,591.00;795,818.50;30,649.25
Apr 17, 2016;Apr 18, 2016;1,103,354.25;815,570.50;30,795.75
Apr 18, 2016;Apr 19, 2016;1,401,868.25;1,029,332.00;17,003.25
Apr 19, 2016;Apr 20, 2016;1,433,439.50;905,156.75;29,795.00
Apr 20, 2016;Apr 21, 2016;1,417,926.25;1,024,490.75;19,956.50
Apr 21, 2016;Apr 22, 2016;1,408,797.50;1,104,246.50;17,025.50
Apr 22, 2016;Apr 23, 2016;1,392,434.75;1,060,816.75;20,997.25
Apr 23, 2016;Apr 24, 2016;1,207,675.75;925,430.50;23,440.25
Apr 24, 2016;Apr 25, 2016;1,111,727.25;792,265.50;45,307.50
Apr 25, 2016;Apr 26, 2016;1,436,783.00;1,074,956.25;19,293.00
Apr 26, 2016;Apr 27, 2016;1,473,761.25;1,106,814.75;28,830.75
Apr 27, 2016;Apr 28, 2016;1,494,339.50;992,174.25;32,570.50
Apr 28, 2016;Apr 29, 2016;1,465,108.00;1,125,436.50;20,012.75
Apr 29, 2016;Apr 30, 2016;1,426,454.25;968,535.25;28,853.25
Apr 30, 2016;May 1, 2016;1,189,434.25;882,337.00;22,261.50
May 1, 2016;May 2, 2016;1,061,586.75;721,707.75;51,545.00
May 2, 2016;May 3, 2016;1,374,225.25;1,096,619.00;15,302.00
May 3, 2016;May 4, 2016;1,442,984.00;1,093,914.25;25,560.50
May 4, 2016;May 5, 2016;1,418,535.50;1,153,991.00;22,645.25
May 5, 2016;May 6, 2016;1,124,218.75;776,204.75;32,697.75
May 6, 2016;May 7, 2016;1,255,859.50;785,966.50;23,997.50
May 7, 2016;May 8, 2016;1,160,427.00;631,189.00;39,080.00
May 8, 2016;May 9, 2016;1,073,956.50;456,982.75;48,090.50
May 9, 2016;May 10, 2016;1,395,779.25;820,092.75;21,694.00
May 10, 2016;May 11, 2016;1,424,022.50;998,328.00;30,280.50
May 11, 2016;May 12, 2016;1,428,687.25;952,010.75;27,011.25
May 12, 2016;May 13, 2016;1,449,162.25;980,410.00;28,048.25
May 13, 2016;May 14, 2016;1,401,479.25;1,052,000.00;21,193.25
May 14, 2016;May 15, 2016;1,187,984.25;670,516.25;24,796.25
May 15, 2016;May 16, 2016;1,054,865.50;526,038.00;42,005.75
May 16, 2016;May 17, 2016;1,074,460.75;687,958.75;27,382.00
May 17, 2016;May 18, 2016;1,377,848.50;1,055,332.25;18,659.50
May 18, 2016;May 19, 2016;1,421,227.25;1,183,435.75;26,669.75
May 19, 2016;May 20, 2016;1,432,925.50;1,255,003.25;25,261.00
May 20, 2016;May 21, 2016;1,419,263.50;1,089,998.50;25,853.50
May 21, 2016;May 22, 2016;1,187,445.50;880,445.25;25,448.50
May 22, 2016;May 23, 2016;1,090,591.00;684,434.75;32,580.50
May 23, 2016;May 24, 2016;1,398,614.25;1,145,240.75;23,325.25
May 24, 2016;May 25, 2016;1,438,137.50;1,182,008.00;24,565.00
May 25, 2016;May 26, 2016;1,413,216.50;1,282,372.75;20,451.25
May 26, 2016;May 27, 2016;1,219,604.00;1,031,934.00;22,276.25
May 27, 2016;May 28, 2016;1,308,596.75;1,129,907.00;24,898.75
May 28, 2016;May 29, 2016;1,180,774.00;944,869.25;22,833.00
May 29, 2016;May 30, 2016;1,095,992.25;813,585.00;30,564.75
May 30, 2016;May 31, 2016;1,400,425.50;1,027,080.25;28,285.00
May 31, 2016;Jun 1, 2016;1,434,484.50;1,176,472.50;21,154.75
Jun 1, 2016;Jun 2, 2016;1,420,657.25;1,152,225.00;23,104.50
Jun 2, 2016;Jun 3, 2016;1,413,640.00;1,180,032.00;27,519.50
Jun 3, 2016;Jun 4, 2016;1,385,412.50;1,148,007.25;25,454.00
Jun 4, 2016;Jun 5, 2016;1,171,161.50;952,094.25;19,161.50
Jun 5, 2016;Jun 6, 2016;1,068,275.75;849,200.25;30,834.00
Jun 6, 2016;Jun 7, 2016;1,367,203.25;1,085,494.25;17,128.50
Jun 7, 2016;Jun 8, 2016;1,398,812.75;1,133,429.50;22,861.75
Jun 8, 2016;Jun 9, 2016;1,402,531.50;1,084,509.50;21,304.00
Jun 9, 2016;Jun 10, 2016;1,393,012.25;1,139,405.00;20,827.00
Jun 10, 2016;Jun 11, 2016;1,365,924.75;991,555.75;20,423.25
Jun 11, 2016;Jun 12, 2016;1,157,344.75;982,822.00;17,376.75
Jun 12, 2016;Jun 13, 2016;1,073,732.50;867,338.50;35,756.25
Jun 13, 2016;Jun 14, 2016;1,370,793.50;1,145,261.00;21,196.25
Jun 14, 2016;Jun 15, 2016;1,399,323.00;1,194,593.00;24,823.75
Jun 15, 2016;Jun 16, 2016;1,392,808.75;1,198,503.75;25,538.25
Jun 16, 2016;Jun 17, 2016;1,400,860.75;1,230,463.00;22,705.50
Jun 17, 2016;Jun 18, 2016;1,394,368.50;1,128,354.50;29,392.00
Jun 18, 2016;Jun 19, 2016;1,177,430.75;858,172.75;23,465.50
Jun 19, 2016;Jun 20, 2016;1,070,321.00;836,949.25;39,508.00
Jun 20, 2016;Jun 21, 2016;1,364,073.50;966,879.50;27,323.50
Jun 21, 2016;Jun 22, 2016;1,381,672.00;1,139,162.25;22,963.25
Jun 22, 2016;Jun 23, 2016;1,392,829.50;1,153,918.75;27,005.50
Jun 23, 2016;Jun 24, 2016;1,414,736.25;1,047,554.75;32,806.75
Jun 24, 2016;Jun 25, 2016;1,409,257.00;1,098,589.00;24,159.75
Jun 25, 2016;Jun 26, 2016;1,199,839.75;947,058.75;20,213.25
Jun 26, 2016;Jun 27, 2016;1,073,412.25;733,362.50;42,582.75
Jun 27, 2016;Jun 28, 2016;1,386,973.50;1,043,173.25;25,687.50
Jun 28, 2016;Jun 29, 2016;1,408,773.50;1,165,644.50;20,107.00
Jun 29, 2016;Jun 30, 2016;1,430,363.50;1,009,368.75;29,503.75
Jun 30, 2016;Jul 1, 2016;1,418,121.25;1,143,814.75;26,743.00
Jul 1, 2016;Jul 2, 2016;1,392,166.25;981,899.75;30,520.50
Jul 2, 2016;Jul 3, 2016;1,191,320.75;812,960.00;21,121.25
Jul 3, 2016;Jul 4, 2016;1,066,202.00;701,962.25;43,512.75
Jul 4, 2016;Jul 5, 2016;1,368,641.00;1,124,548.25;21,510.00
Jul 5, 2016;Jul 6, 2016;1,436,211.00;972,238.75;24,243.75
Jul 6, 2016;Jul 7, 2016;1,427,476.50;784,986.50;35,402.50
Jul 7, 2016;Jul 8, 2016;1,399,665.50;1,054,516.00;25,062.25
Jul 8, 2016;Jul 9, 2016;1,406,298.50;1,025,927.25;20,445.75
Jul 9, 2016;Jul 10, 2016;1,189,873.50;782,410.00;28,434.00
Jul 10, 2016;Jul 11, 2016;1,090,268.50;695,052.50;41,724.50
Jul 11, 2016;Jul 12, 2016;1,403,743.25;900,881.25;27,658.75
Jul 12, 2016;Jul 13, 2016;1,417,873.25;1,128,016.25;22,572.75
Jul 13, 2016;Jul 14, 2016;1,395,361.00;1,211,149.00;17,883.25
Jul 14, 2016;Jul 15, 2016;1,409,371.00;1,001,995.00;23,367.75
Jul 15, 2016;Jul 16, 2016;1,382,135.25;929,771.50;22,656.00
Jul 16, 2016;Jul 17, 2016;1,168,759.50;877,695.00;21,557.25
Jul 17, 2016;Jul 18, 2016;1,073,286.75;825,662.75;33,520.50
Jul 18, 2016;Jul 19, 2016;1,364,769.00;1,070,565.50;15,812.50
Jul 19, 2016;Jul 20, 2016;1,399,456.00;1,149,741.00;18,648.00
Jul 20, 2016;Jul 21, 2016;1,422,831.00;1,069,204.00;24,135.00
Jul 21, 2016;Jul 22, 2016;1,418,433.25;1,182,244.75;22,760.00
Jul 22, 2016;Jul 23, 2016;1,385,972.75;1,146,846.50;19,411.00
Jul 23, 2016;Jul 24, 2016;1,175,111.75;992,497.00;14,115.00
Jul 24, 2016;Jul 25, 2016;1,069,917.25;887,576.75;31,734.75
Jul 25, 2016;Jul 26, 2016;1,371,152.00;1,168,135.25;14,109.25
Jul 26, 2016;Jul 27, 2016;1,395,741.00;1,203,792.75;18,643.50
Jul 27, 2016;Jul 28, 2016;1,391,807.50;1,163,768.75;21,720.00
Jul 28, 2016;Jul 29, 2016;1,379,001.25;1,187,488.75;19,651.75
Jul 29, 2016;Jul 30, 2016;1,351,715.00;1,079,265.25;19,210.50
Jul 30, 2016;Jul 31, 2016;1,152,753.25;869,734.00;22,788.50
Jul 31, 2016;Aug 1, 2016;1,053,883.25;897,741.75;24,857.75
Aug 1, 2016;Aug 2, 2016;1,314,456.25;997,973.25;18,425.75
Aug 2, 2016;Aug 3, 2016;1,361,784.25;1,195,665.00;18,753.50
Aug 3, 2016;Aug 4, 2016;1,382,698.50;1,011,569.50;19,772.75
Aug 4, 2016;Aug 5, 2016;1,381,693.25;992,338.75;20,947.75
Aug 5, 2016;Aug 6, 2016;1,334,061.25;1,092,613.50;26,032.50
Aug 6, 2016;Aug 7, 2016;1,133,940.25;825,947.00;21,258.75
Aug 7, 2016;Aug 8, 2016;1,033,703.25;625,721.25;42,282.25
Aug 8, 2016;Aug 9, 2016;1,337,129.25;802,897.50;22,763.75
Aug 9, 2016;Aug 10, 2016;1,348,911.75;1,044,372.00;20,494.00
Aug 10, 2016;Aug 11, 2016;1,346,039.00;1,039,132.00;26,174.75
Aug 11, 2016;Aug 12, 2016;1,339,807.25;999,545.00;27,768.50
Aug 12, 2016;Aug 13, 2016;1,344,232.25;1,092,823.75;20,336.75
Aug 13, 2016;Aug 14, 2016;1,156,851.00;706,083.75;29,842.00
Aug 14, 2016;Aug 15, 2016;1,044,811.00;775,196.50;37,712.75
Aug 15, 2016;Aug 16, 2016;1,278,615.00;1,039,634.75;17,483.50
Aug 16, 2016;Aug 17, 2016;1,343,082.25;1,096,884.75;18,084.50
Aug 17, 2016;Aug 18, 2016;1,341,612.50;1,106,284.75;21,918.00
Aug 18, 2016;Aug 19, 2016;1,357,200.25;1,144,514.50;23,525.50
Aug 19, 2016;Aug 20, 2016;1,342,075.50;1,137,705.50;24,333.25
Aug 20, 2016;Aug 21, 2016;1,168,095.50;911,680.25;21,381.50
Aug 21, 2016;Aug 22, 2016;1,055,035.00;682,265.50;48,827.25
Aug 22, 2016;Aug 23, 2016;1,362,853.75;1,053,497.75;23,587.25
Aug 23, 2016;Aug 24, 2016;1,386,303.25;1,147,783.00;19,666.25
Aug 24, 2016;Aug 25, 2016;1,393,322.50;1,090,922.25;28,590.00
Aug 25, 2016;Aug 26, 2016;1,406,600.75;1,024,692.50;26,997.75
Aug 26, 2016;Aug 27, 2016;1,391,936.00;1,056,497.00;23,306.25
Aug 27, 2016;Aug 28, 2016;1,195,097.25;933,012.75;21,309.00
Aug 28, 2016;Aug 29, 2016;1,091,525.25;708,733.00;32,362.75
Aug 29, 2016;Aug 30, 2016;1,393,193.00;1,042,864.00;25,954.75
Aug 30, 2016;Aug 31, 2016;1,381,763.75;1,108,423.50;23,392.00
Aug 31, 2016;Sep 1, 2016;1,384,240.25;1,131,398.00;24,457.25
Sep 1, 2016;Sep 2, 2016;1,391,404.50;1,166,649.75;25,643.25
Sep 2, 2016;Sep 3, 2016;1,365,181.50;1,098,954.00;19,105.50
Sep 3, 2016;Sep 4, 2016;1,153,044.00;906,091.75;25,460.25
Sep 4, 2016;Sep 5, 2016;1,081,507.75;742,336.50;32,874.75
Sep 5, 2016;Sep 6, 2016;1,364,730.00;1,111,857.00;18,316.50
Sep 6, 2016;Sep 7, 2016;1,375,685.75;1,172,256.75;26,869.25
Sep 7, 2016;Sep 8, 2016;1,385,419.75;1,126,439.50;25,198.50
Sep 8, 2016;Sep 9, 2016;1,406,419.50;1,113,628.50;27,471.00
Sep 9, 2016;Sep 10, 2016;1,375,679.25;1,151,490.75;25,531.50
Sep 10, 2016;Sep 11, 2016;1,153,325.00;938,547.25;22,349.50
Sep 11, 2016;Sep 12, 2016;1,059,368.50;838,083.75;37,942.50
Sep 12, 2016;Sep 13, 2016;1,374,399.00;1,121,423.00;18,485.00
Sep 13, 2016;Sep 14, 2016;1,412,886.75;1,098,526.00;28,889.75
Sep 14, 2016;Sep 15, 2016;1,407,145.75;1,020,150.25;27,713.25
Sep 15, 2016;Sep 16, 2016;1,411,923.25;982,118.25;22,673.75
Sep 16, 2016;Sep 17, 2016;1,365,390.50;1,164,688.00;23,798.75
Sep 17, 2016;Sep 18, 2016;1,161,548.00;940,477.75;20,920.75
Sep 18, 2016;Sep 19, 2016;1,069,199.25;803,550.50;37,832.00
Sep 19, 2016;Sep 20, 2016;1,350,639.25;1,230,155.50;19,057.50
Sep 20, 2016;Sep 21, 2016;1,378,416.25;1,275,345.50;22,083.75
Sep 21, 2016;Sep 22, 2016;1,373,305.50;1,206,842.50;24,269.00
Sep 22, 2016;Sep 23, 2016;1,370,747.25;1,190,979.75;18,812.75
Sep 23, 2016;Sep 24, 2016;1,360,808.50;1,166,024.75;21,128.75
Sep 24, 2016;Sep 25, 2016;1,148,056.25;921,419.25;26,149.25
Sep 25, 2016;Sep 26, 2016;1,058,535.25;721,287.25;40,464.00
Sep 26, 2016;Sep 27, 2016;1,365,980.25;1,194,379.75;21,761.50
Sep 27, 2016;Sep 28, 2016;1,406,880.50;1,213,658.75;27,786.25
Sep 28, 2016;Sep 29, 2016;1,431,522.75;868,945.50;28,928.75
Sep 29, 2016;Sep 30, 2016;1,438,366.75;787,975.25;34,854.50
Sep 30, 2016;Oct 1, 2016;1,405,323.25;1,061,640.50;21,601.00
Oct 1, 2016;Oct 2, 2016;1,175,306.00;1,003,224.25;27,049.25
Oct 2, 2016;Oct 3, 2016;1,071,244.00;816,307.25;30,287.25
Oct 3, 2016;Oct 4, 2016;1,091,399.75;835,569.00;24,018.75
Oct 4, 2016;Oct 5, 2016;1,413,398.50;979,911.25;24,960.50
Oct 5, 2016;Oct 6, 2016;1,457,658.25;973,812.25;24,951.25
Oct 6, 2016;Oct 7, 2016;1,494,171.25;1,107,943.50;29,268.25
Oct 7, 2016;Oct 8, 2016;1,462,671.25;1,263,867.50;24,379.75
Oct 8, 2016;Oct 9, 2016;1,237,930.50;1,040,623.25;22,879.50
Oct 9, 2016;Oct 10, 2016;1,141,063.00;999,170.75;30,930.75
Oct 10, 2016;Oct 11, 2016;1,444,387.25;1,348,549.00;31,212.00
Oct 11, 2016;Oct 12, 2016;1,488,559.00;1,268,886.00;36,507.50
Oct 12, 2016;Oct 13, 2016;1,494,246.00;1,243,839.25;25,840.25
Oct 13, 2016;Oct 14, 2016;1,505,236.25;1,131,068.75;32,316.50
Oct 14, 2016;Oct 15, 2016;1,475,549.00;974,577.00;36,560.75
Oct 15, 2016;Oct 16, 2016;1,243,965.25;946,869.50;40,914.50
Oct 16, 2016;Oct 17, 2016;1,120,324.00;912,552.00;36,172.25
Oct 17, 2016;Oct 18, 2016;1,443,161.50;1,247,614.75;27,404.25
Oct 18, 2016;Oct 19, 2016;1,486,735.00;1,293,544.50;39,556.25
Oct 19, 2016;Oct 20, 2016;1,497,224.00;1,254,751.00;39,114.00
Oct 20, 2016;Oct 21, 2016;1,505,546.75;1,310,921.75;27,130.25
Oct 21, 2016;Oct 22, 2016;1,480,401.00;1,330,470.00;25,853.25
Oct 22, 2016;Oct 23, 2016;1,248,418.25;1,121,044.75;22,706.50
Oct 23, 2016;Oct 24, 2016;1,142,074.75;1,017,028.50;32,455.25
Oct 24, 2016;Oct 25, 2016;1,469,809.00;1,321,357.25;25,423.25
Oct 25, 2016;Oct 26, 2016;1,491,681.00;1,419,045.50;35,546.25
Oct 26, 2016;Oct 27, 2016;1,481,022.25;1,381,219.00;36,617.75
Oct 27, 2016;Oct 28, 2016;1,493,275.25;1,234,955.00;34,038.00
Oct 28, 2016;Oct 29, 2016;1,479,059.00;1,050,635.00;30,114.25
Oct 29, 2016;Oct 30, 2016;1,241,806.00;910,134.50;35,325.50
Oct 30, 2016;Oct 31, 2016;1,169,491.50;993,972.50;35,667.00
Oct 31, 2016;Nov 1, 2016;1,315,915.50;1,200,918.00;22,931.00
Nov 1, 2016;Nov 2, 2016;1,288,546.75;995,194.75;27,538.25
Nov 2, 2016;Nov 3, 2016;1,508,419.00;1,034,827.75;36,225.25
Nov 3, 2016;Nov 4, 2016;1,520,645.00;1,344,855.00;30,710.25
Nov 4, 2016;Nov 5, 2016;1,512,504.25;1,209,019.00;35,279.50
Nov 5, 2016;Nov 6, 2016;1,307,853.50;1,109,184.00;30,553.75
Nov 6, 2016;Nov 7, 2016;1,206,282.25;983,028.25;46,174.75
Nov 7, 2016;Nov 8, 2016;1,518,218.75;1,328,972.25;28,030.25
Nov 8, 2016;Nov 9, 2016;1,566,023.75;1,429,755.00;36,952.50
Nov 9, 2016;Nov 10, 2016;1,576,230.75;1,414,036.25;36,275.50
Nov 10, 2016;Nov 11, 2016;1,573,750.25;1,425,178.50;37,604.75
